time,lat,lng
08/29/13 13:11:10,37.7913994741,-122.383980036
08/29/13 13:11:20,37.7915328349,-122.383922316
08/29/13 13:11:30,37.7916661956,-122.383864595
08/29/13 13:11:40,37.7917995564,-122.383806875
08/29/13 13:11:50,37.791899577,-122.383763585
08/29/13 13:12:00,37.7919995976,-122.383720294
08/29/13 13:12:10,37.7920996181,-122.383677004
08/29/13 13:12:20,37.7921996387,-122.383633714
08/29/13 13:12:30,37.7923329994,-122.383575994
08/29/13 13:12:40,37.7924663602,-122.383518273
08/29/13 13:12:50,37.7925997209,-122.383460553
08/29/13 13:13:00,37.7926997415,-122.383417263
08/29/13 13:13:10,37.792799762,-122.383373973
08/29/13 13:13:20,37.7928997826,-122.383330682
08/29/13 13:13:30,37.7929998032,-122.383287392
08/29/13 13:13:40,37.7931331639,-122.383229672
08/29/13 13:13:50,37.7932665247,-122.383171951
08/29/13 13:14:00,37.7933998854,-122.383114231
08/29/13 13:14:10,37.793499906,-122.383070941
08/29/13 13:14:20,37.7935999266,-122.38302765
08/29/13 13:14:30,37.7936999471,-122.38298436
08/29/13 13:14:40,37.7937999677,-122.38294107
08/29/13 13:14:50,37.7939333284,-122.38288335
08/29/13 13:15:00,37.7940666892,-122.382825629
08/29/13 13:15:10,37.7942000499,-122.382767909
08/29/13 13:15:20,37.7943000705,-122.382724619
08/29/13 13:15:30,37.7944000911,-122.382681328
08/29/13 13:15:40,37.7945001116,-122.382638038
08/29/13 13:15:50,37.7946001322,-122.382594748
08/29/13 13:16:00,37.794733493,-122.382537028
08/29/13 13:16:10,37.7948668537,-122.382479307
08/29/13 13:16:20,37.7950002145,-122.382421587
08/29/13 13:16:30,37.7951002351,-122.382378297
08/29/13 13:16:40,37.7952002556,-122.382335006
08/29/13 13:16:50,37.7953002762,-122.382291716
08/29/13 13:17:00,37.7954002967,-122.382248426
08/29/13 13:17:10,37.7954056311,-122.386175717
08/29/13 13:17:20,37.7954109656,-122.390103009
08/29/13 13:17:30,37.7954163,-122.3940303
